"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8872","verify DepositBalanceLimit title","chromium","2026-01-05","passed","2026-01-05","","deposit.balance.limit.spec.ts","",""
"","7048","verify left menu items","chromium","2026-01-05","passed","2026-01-05","","my.account.spec.ts","",""
"","11254","user logout","chromium","2026-01-05","passed","2026-01-05","","login.spec.ts","",""
"","6157","verify the Page TITLE","chromium","2026-01-05","passed","2026-01-05","","login.spec.ts","",""
"","6219","verify Logo","chromium","2026-01-05","passed","2026-01-05","","home.page.spec.ts","",""
"","6302","verify BannerImage","chromium","2026-01-05","passed","2026-01-05","","home.page.spec.ts","",""
"","6539","user login test @sanity @regression","chromium","2026-01-05","failed","2026-01-05","","login.spec.ts","",""
"","6523","Winners page title validation","chromium","2026-01-05","passed","2026-01-05","","winners.spec.ts","",""
"","7894","verify AddMoneyButton visibility","chromium","2026-01-05","passed","2026-01-05","","home.page.spec.ts","",""
"","7444","verify My Account page title","chromium","2026-01-05","passed","2026-01-05","","my.account.spec.ts","",""
"","12366","verify Deposit Balance Limit Header visibility","chromium","2026-01-05","passed","2026-01-05","","deposit.balance.limit.spec.ts","",""
"","13012","verify ContactReference page Toggle functionality","chromium","2026-01-05","passed","2026-01-05","","contact.preference.spec.ts","",""
"","5011","Login | 2 | Invalid login @datadriven","chromium","2026-01-05","passed","2026-01-05","Login – Data Driven","login.data.driven.spec.ts","",""
"","6507","verify the Page TITLE","chromium","2026-01-05","passed","2026-01-05","","home.page.spec.ts","",""
"","8788","verify MayBeLater visibility","chromium","2026-01-05","passed","2026-01-05","","home.page.spec.ts","",""
"","6169","Login | 1 | Valid login @datadriven","chromium","2026-01-05","failed","2026-01-05","Login – Data Driven","login.data.driven.spec.ts","",""
"","6880","Winners page dropdown validation","chromium","2026-01-05","passed","2026-01-05","","winners.spec.ts","",""
